『艦これアーケード』オリジナルグッズキャンペーン第伍弾 参加店舗一覧,2024.6.10,2024年6月13日(木) ～ 2024年8月4日(日)
"北海道","ＢＩＧＢＡＮＧ北見店","北海道北見市中央三輪7丁目４４６−１"
"北海道","ＧｉＧＯ北見","北海道北見市西三輪５丁目１番地１６号"
"北海道","ＢＩＧＢＡＮＧ函館","北海道函館市梁川町９−３テキサスビル３Ｆ"
"北海道","ラウンドワン函館店","北海道函館市西桔梗町８４８−１１"
"北海道","ＧｉＧＯイオンモール苫小牧","北海道苫小牧市柳町３丁目１番２０号イオンモール苫小牧２階"
"北海道","キャッツアイ苫小牧駅前店","北海道苫小牧市木場町１丁目３番地２"
"北海道","ＧｉＧＯドリームタウン白樺","北海道帯広市白樺１６条西２丁目ドリームタウン白樺１階"
"北海道","ＢＩＧＢＡＮＧ室蘭","北海道室蘭市中島本町２−８−１"
"北海道","ＧｉＧＯ札幌駅西口","北海道札幌市北区北６条西６丁目１‐１"
"北海道","キャッツアイ新川店","北海道札幌市北区新川二条７丁目１ー７"
"北海道","ラウンドワン札幌白石本通店","北海道札幌市白石区本通１６丁目北１−５０"
"北海道","ラウンドワン札幌北２１条店","北海道札幌市東区北二十一条東１−１−２１"
"北海道","キャッツアイ東苗穂店","北海道札幌市東区東苗穂６条２丁目１−２５"
"北海道","ラウンドワン札幌すすきの店","北海道札幌市中央区南五条西3-6-1"
"北海道","タイトーステーション札幌狸小路２丁目店","北海道札幌市中央区南３条西２丁目−１４"
"北海道","キャッツアイ清田店","北海道札幌市清田区清田１条１−２０−１"
"北海道","ＧｉＧＯ西友手稲","北海道札幌市手稲区前田1条11丁目西友手稲店3階"
"北海道","キャッツアイ宮の沢店","北海道札幌市手稲区西宮の沢５条２丁目１１−１５"
"北海道","キャッツアイ新札幌店","北海道札幌市厚別区厚別東五条１ー２−１０"
"北海道","キャッツアイ恵庭店","北海道恵庭市住吉町２丁目９−１"
"北海道","ＢＩＧＢＡＮＧ釧路","北海道釧路郡釧路町木場２−１"
"北海道","ラウンドワン旭川店","北海道旭川市永山三条１−４−７"
"青森県","ＧｉＧＯ八戸","青森県八戸市城下４−２５−１４"
"青森県","ラウンドワン青森店","青森県青森市浜田３−１−１"
"青森県","ユーズランド下田店","青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ"
"青森県","ＧｉＧＯ弘前","青森県弘前市末広１−３−３"
"青森県","ソユースペースファンタジーインフィニ","青森県弘前市城東北３−１０−１さくら野百貨店弘前店４Ｆ"
"岩手県","ラウンドワン盛岡店","岩手県盛岡市盛岡駅西通２−１０−３５"
"岩手県","ＧｉＧＯ水沢","岩手県奥州市水沢区佐倉河字鎧田４−１"
"宮城県","ＧｉＧＯ名取","宮城県名取市飯野坂字土城堀５７−１"
"宮城県","ＧｉＧＯ佐沼","宮城県登米市迫町佐沼字中江２−５−８"
"宮城県","ＳＯＹＵ　ＧＡＭＥ　ＦＩＥＬＤ古川店","宮城県大崎市古川沢田字筒場浦１５番地イオンタウン古川内"
"宮城県","ＧｉＧＯイオン仙台中山","宮城県仙台市泉区南中山１−３５−５７別館３Ｆ"
"宮城県","ＧＡＭＥＢＡＮＫ仙台泉店","宮城県仙台市泉区大沢２−５−４"
"宮城県","ＧｉＧＯ仙台","宮城県仙台市青葉区中央２−５−５三経６０ビル"
"宮城県","タイトーステーション仙台名掛丁店","宮城県仙台市青葉区中央１−７−１３"
"宮城県","ＧｉＧＯ仙台一番町","宮城県仙台市青葉区一番町４丁目５番１３号サンシャインビル１階"
"宮城県","ゲームコーナー東部","宮城県仙台市若林区六丁の目中町26-60斎喜東部ビル2F"
"宮城県","THE3RDPLANETBiVi仙台店","宮城県仙台市宮城野区榴岡2-1-25"
"宮城県","ＧｉＧＯ仙台コロナワールド","宮城県仙台市宮城野区福室字田中前１番５３−１"
"宮城県","ラウンドワン仙台苦竹店","宮城県仙台市宮城野区苦竹１−７−１０"
"宮城県","ＧｉＧＯ石巻","宮城県石巻市大街道東４−１−４５"
"宮城県","ＧｉＧＯ利府","宮城県宮城郡利府町加瀬字新前谷地５５−１"
"秋田県","ＳＯＹＵＧａｍｅＦｉｅｌｄ能代店","秋田県能代市鰄渕字古屋布１番イオンタウン能代内"
"秋田県","ＳＯＹＵＧａｍｅＦｉｅｌｄ大館店","秋田県大館市御成町三丁目７番５８号いとく大館ＳＣ３階"
"秋田県","SOYUGameField御所野店","秋田県秋田市御所野地蔵田1-1-1イオンモール秋田2F"
"秋田県","ラウンドワン秋田店","秋田県秋田市卸町１−１−２"
"秋田県","ＧｉＧＯ秋田","秋田県秋田市茨島１−１−１６"
"秋田県","ゲームフィールド十文字店","秋田県横手市十文字町仁井田字東22-1スーパーモールラッキー内"
"山形県","ＧｉＧＯ米沢","山形県米沢市大字花沢字タナコ原１７７"
"山形県","ＧｉＧＯ庄内","山形県東田川郡三川町猪字大堰端３２６番地６"
