店名,場所
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７－２－５ｲｵﾝﾓｰﾙ旭川駅前４F
ディノスパーク旭川,北海道旭川市大雪通5丁目496番地5号 1階
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ﾋﾞｯｸﾞﾏｰﾄB棟
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２－１
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
キャッツアイ手稲店,北海道札幌市手稲区前田３条１０丁目２－２１
キャッツアイ清田店,北海道札幌市清田区清田１－１－２０－１
ディノスパーク札幌中央,北海道札幌市中央区南3条西1丁目8番地ｽｶﾞｲﾋﾞﾙ1,2地下1階
ディノスパークノルベサ,北海道札幌市中央区南3条西5丁目1番地1号NORBESA 5階
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
アドアーズ狸小路,北海道札幌市中央区南三条西４－１２－１アルシュビル５・６Ｆ
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１－１－２１
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１－５０
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２－８－１
ディノスパーク室蘭,北海道室蘭市東町4丁目31番3号 1階
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ラウンドワン函館店,北海道函館市西桔梗町８４８－１１
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９－３テキサスビル３Ｆ
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６－１
ソユースペースファンタジーインフィニ,青森県弘前市城東北３－１０－１さくらの弘前店４Ｆ
セガ弘前,青森県弘前市末広1-3-3
ユーズランド下田店,青森県上北郡おいらせ町中野平４０－１イオンモール下田１Ｆ
ラウンドワン青森店,青森県青森市浜田３－１－１
セガ八戸,青森県八戸市城下4-25-14
セガ水沢,岩手県奥州市水沢区佐倉河字鐙田4-1
ラウンドワン盛岡店,岩手県盛岡市盛岡駅西通２－１０－３５
Ｇ３ポロスイオンタウン北上店,岩手県北上市里分四地割２０番地１
スーパーノバ仙台利府,宮城県宮城郡利府町加瀬字新前谷地５５－１
セガワールド石巻,宮城県石巻市大街道東4-1-45
ラウンドワン仙台苦竹店,宮城県仙台市宮城野区苦竹１－７－１０
セガ仙台コロナワールド,宮城県仙台市宮城野区福室字田中前一番53-1
THE 3RD PLANET BiVi仙台店,宮城県仙台市宮城野区榴岡2-1-25
ゲームコーナー東部,宮城県仙台市若林区六丁の目中町26-60 斎喜東部ビル2F
仙台レジャーランド一番町店,宮城県仙台市青葉区一番町4-3-27ガリレア一番町ビル1Ｆ～3Ｆ
タイトーステーション 仙台名掛丁店,宮城県仙台市青葉区中央１－７－１３
タイトーステーション 仙台クリスロード店,宮城県仙台市青葉区中央２－３－２５
ＧＡＭＥＢＡＮＫ仙台泉店,宮城県仙台市泉区大沢２－５－４
セガワールド古川,宮城県大崎市古川城西15
セガワールド佐沼,宮城県登米市迫町佐沼字中江2-5-8
セガ名取セッツウイングス,宮城県名取市飯野坂字土城堀57-1
セガ秋田,秋田県秋田市茨島1-1-16
ラウンドワン秋田店,秋田県秋田市卸町１－１－２
セガワールド北山形,山形県山形市北町1-3-20
スーパーノバ天童,山形県天童市南町1-5-26
ＡＧスクエア庄内,山形県東田川郡三川町大字猪子字大堰端326-6
セガ米沢,山形県米沢市大字花沢字タナコ原177
セガ小名浜,福島県いわき市小名浜林城字塚前18-1
セガワールド勿来,福島県いわき市勿来町四沢字鍵田13
スーパーノバ会津インター,福島県会津若松市町北町上荒久田字宮下１４２
タイトーＦ郡山オリエントパーク店,福島県郡山市安積町荒井字大久保３５－１
ラウンドワン郡山店,福島県郡山市向河原町４－５５
タイトーアミューズメントシティ郡山,福島県郡山市南2-38　フレスポ郡山店
セガ日和田,福島県郡山市日和田町字西中島7-1
ＳＯＹＵ　Ｅ－ＳＴＵＤＩＯ須賀川店,福島県須賀川市古河１０５イオンタウン須賀川Ｂ棟内
G3ポロス原町店,福島県南相馬市原町区北原本屋敷188
セガワールド白河,福島県白河市新高山1-1 メガステージ白河内
ディノスパーク南福島,福島県福島市黒岩字中沖43番地2号
スーパーノバ福島,福島県福島市黒岩字中島7-2
ラウンドワン福島店,福島県福島市太田町14-18
セガワールド福島,福島県福島市本内字中井1-2
アミューズビバ,茨城県ひたちなか市東大島２－１１－１１
セガ霞ヶ浦,茨城県稲敷市西代1473-1
ジャムジャム神栖店,茨城県神栖市神栖1-8-1
セガ水戸,茨城県水戸市宮町1-7-44 コムボックス310
セガ水戸南,茨城県水戸市千波町2017−1
